Country,Variable,Predicted Year,Year - 10,Year - 5,Predicted Value
Armenia,Water resources: total external renewable,2002,0.91,0.91,0.91
Armenia,Water resources: total external renewable,2007,0.91,0.91,0.91
Armenia,Water resources: total external renewable,2012,0.91,0.91,0.91
Armenia,Surface water: total flow of border rivers,2002,1.82,1.82,1.82
Armenia,Surface water: total flow of border rivers,2007,1.82,1.82,1.82
Armenia,Surface water: total flow of border rivers,2012,1.82,1.82,1.82
Armenia,Surface water: outflow to other countries secured through treaties,2002,0.0,0.0,0.0
Armenia,Surface water: outflow to other countries secured through treaties,2007,0.0,0.0,0.0
Armenia,Surface water: outflow to other countries secured through treaties,2012,0.0,0.0,0.0
Armenia,Surface water: inflow submitted to treaties,2002,0.0,0.0,0.0
Armenia,Surface water: inflow submitted to treaties,2007,0.0,0.0,0.0
Armenia,Surface water: inflow submitted to treaties,2012,0.0,0.0,0.0
Armenia,Surface water: inflow secured through treaties,2002,0.0,0.0,0.0
Armenia,Surface water: inflow secured through treaties,2007,0.0,0.0,0.0
Armenia,Surface water: inflow secured through treaties,2012,0.0,0.0,0.0
Armenia,Surface water: inflow not submitted to treaties,2002,0.0,0.0,0.0
Armenia,Surface water: inflow not submitted to treaties,2007,0.0,0.0,0.0
Armenia,Surface water: inflow not submitted to treaties,2012,0.0,0.0,0.0
Armenia,Surface water: entering the country (total),2002,0.0,0.0,0.0
Armenia,Surface water: entering the country (total),2007,0.0,0.0,0.0
Armenia,Surface water: entering the country (total),2012,0.0,0.0,0.0
Armenia,Surface water: accounted inflow,2002,0.91,0.91,0.91
Armenia,Surface water: accounted inflow,2007,0.91,0.91,0.91
Armenia,Surface water: accounted inflow,2012,0.91,0.91,0.91
Armenia,Surface water: accounted flow of border rivers,2002,0.91,0.91,0.91
Armenia,Surface water: accounted flow of border rivers,2007,0.91,0.91,0.91
Armenia,Surface water: accounted flow of border rivers,2012,0.91,0.91,0.91
Armenia,Surface water produced internally,2002,3.948,3.948,3.948
Armenia,Surface water produced internally,2007,3.948,3.948,3.948
Armenia,Surface water produced internally,2012,3.948,3.948,3.948
Armenia,Rural population,2002,1136.0,1078.0,1075.0
Armenia,Rural population,2007,1078.0,1075.0,1016.0
Armenia,Rural population,2012,1075.0,1016.0,1007.0
Armenia,Population density,2002,115.8,105.3,102.0
Armenia,Population density,2007,105.3,102.0,98.62
Armenia,Population density,2012,102.0,98.62,96.91
Armenia,Overlap: between surface water and groundwater,2002,1.4,1.4,1.4
Armenia,Overlap: between surface water and groundwater,2007,1.4,1.4,1.4
Armenia,Overlap: between surface water and groundwater,2012,1.4,1.4,1.4
Armenia,Overlap between surface water and groundwater,2002,1.4,1.4,1.4
Armenia,Overlap between surface water and groundwater,2007,1.4,1.4,1.4
Armenia,Overlap between surface water and groundwater,2012,1.4,1.4,1.4
Armenia,Long-term average annual precipitation in volume,2002,16.71,16.71,16.71
Armenia,Long-term average annual precipitation in volume,2007,16.71,16.71,16.71
Armenia,Long-term average annual precipitation in volume,2012,16.71,16.71,16.71
Armenia,Long-term average annual precipitation in depth,2002,562.0,562.0,562.0
Armenia,Long-term average annual precipitation in depth,2007,562.0,562.0,562.0
Armenia,Long-term average annual precipitation in depth,2012,562.0,562.0,562.0
Armenia,Groundwater: entering the country (total),2002,0.0,0.0,0.0
Armenia,Groundwater: entering the country (total),2007,0.0,0.0,0.0
Armenia,Groundwater: entering the country (total),2012,0.0,0.0,0.0
Armenia,Groundwater: accounted inflow,2002,0.0,0.0,0.0
Armenia,Groundwater: accounted inflow,2007,0.0,0.0,0.0
Armenia,Groundwater: accounted inflow,2012,0.0,0.0,0.0
Armenia,Groundwater produced internally,2002,4.311,4.311,4.311
Armenia,Groundwater produced internally,2007,4.311,4.311,4.311
Armenia,Groundwater produced internally,2012,4.311,4.311,4.311
Armenia,Environmental Flow Requirements,2002,2.812,2.812,2.812
Armenia,Environmental Flow Requirements,2007,2.812,2.812,2.812
Armenia,Environmental Flow Requirements,2012,2.812,2.812,2.812
Armenia,Dependency ratio,2002,11.71,11.71,11.71
Armenia,Dependency ratio,2007,11.71,11.71,11.71
Armenia,Dependency ratio,2012,11.71,11.71,11.71
Armenia,Surface water: total external renewable,2002,0.91,0.91,0.91
Armenia,Surface water: total external renewable,2007,0.91,0.91,0.91
Armenia,Surface water: total external renewable,2012,0.91,0.91,0.91
Armenia,Area,2002,Armenia,Armenia,Armenia
Armenia,Area,2007,Armenia,Armenia,Armenia
Armenia,Area,2012,Armenia,Armenia,Armenia
Armenia,Total renewable water resources,2002,7.769,7.769,7.769
Armenia,Total renewable water resources,2007,7.769,7.769,7.769
Armenia,Total renewable water resources,2012,7.769,7.769,7.769
Armenia,Total internal renewable water resources (IRWR),2002,6.859,6.859,6.859
Armenia,Total internal renewable water resources (IRWR),2007,6.859,6.859,6.859
Armenia,Total internal renewable water resources (IRWR),2012,6.859,6.859,6.859
Armenia,Total renewable water resources per capita,2002,2256.0,2480.0,2561.0
Armenia,Total renewable water resources per capita,2007,2480.0,2561.0,2649.0
Armenia,Total renewable water resources per capita,2012,2561.0,2649.0,2696.0
Armenia,Urban population,2002,2307.0,2055.0,1959.0
Armenia,Urban population,2007,2055.0,1959.0,1917.0
Armenia,Urban population,2012,1959.0,1917.0,1875.0
Armenia,Total population,2002,3443.0,3133.0,3034.0
Armenia,Total population,2007,3133.0,3034.0,2933.0
Armenia,Total population,2012,3034.0,2933.0,2882.0
Armenia,Total renewable surface water,2002,4.8580000000000005,4.8580000000000005,4.8580000000000005
Armenia,Total renewable surface water,2007,4.8580000000000005,4.8580000000000005,4.8580000000000005
Armenia,Total renewable surface water,2012,4.8580000000000005,4.8580000000000005,4.8580000000000005
Armenia,Total internal renewable water resources per capita,2002,1992.0,2189.0,2261.0
Armenia,Total internal renewable water resources per capita,2007,2189.0,2261.0,2339.0
Armenia,Total internal renewable water resources per capita,2012,2261.0,2339.0,2380.0
Armenia,Total renewable groundwater,2002,4.311,4.311,4.311
Armenia,Total renewable groundwater,2007,4.311,4.311,4.311
Armenia,Total renewable groundwater,2012,4.311,4.311,4.311
Armenia,Gross Domestic Product (GDP),2002,1270000000.0,1640000000.0,2380000000.0
Armenia,Gross Domestic Product (GDP),2007,1640000000.0,2380000000.0,9210000000.0
Armenia,Gross Domestic Product (GDP),2012,2380000000.0,9210000000.0,10600000000.0
Armenia,% of total country area cultivated,2002,16.24,16.75,16.51
Armenia,% of total country area cultivated,2007,16.75,16.51,17.02
Armenia,% of total country area cultivated,2012,16.51,17.02,16.98
Armenia,GDP per capita,2002,369.6,523.3,783.2
Armenia,GDP per capita,2007,523.3,783.2,3139.0
Armenia,GDP per capita,2012,783.2,3139.0,3685.0
Armenia,Cultivated area (arable land + permanent crops),2002,483.0,498.0,491.0
Armenia,Cultivated area (arable land + permanent crops),2007,498.0,491.0,506.1
Armenia,Cultivated area (arable land + permanent crops),2012,491.0,506.1,505.1
Armenia,Total area of the country (excl. coastal waters),2002,2974.0,2974.0,2974.0
Armenia,Total area of the country (excl. coastal waters),2007,2974.0,2974.0,2974.0
Armenia,Total area of the country (excl. coastal waters),2012,2974.0,2974.0,2974.0
Armenia,Arable land area,2002,423.0,455.0,455.0
Armenia,Arable land area,2007,455.0,455.0,452.1
Armenia,Arable land area,2012,455.0,452.1,448.4
Armenia,Permanent crops area,2002,60.0,43.0,36.0
Armenia,Permanent crops area,2007,43.0,36.0,54.0
Armenia,Permanent crops area,2012,36.0,54.0,56.7
Armenia,"Agriculture, value added (% GDP)",2002,31.04,31.97,25.96
