Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,% of total country area cultivated,4470,1982,12.34
Afghanistan,2,Total population,4104,1982,12750
Afghanistan,2,Rural population,4105,1982,10705
Afghanistan,2,Urban population,4106,1982,2045
Afghanistan,2,GDP per capita,4458,1981,272.8
Afghanistan,2,Long-term average annual precipitation in depth,4151,1982,327
Afghanistan,2,Total renewable water resources,4188,1982,65.33
Albania,3,% of total country area cultivated,4470,1982,24.66
Albania,3,Total population,4104,1982,2788
Albania,3,Rural population,4105,1982,1806
Albania,3,Urban population,4106,1982,982
Albania,3,Long-term average annual precipitation in depth,4151,1982,1485
Albania,3,Total renewable water resources,4188,1982,30.2
Algeria,4,% of total country area cultivated,4470,1982,3.153
Algeria,4,Total population,4104,1982,20576
Algeria,4,Rural population,4105,1982,11168
Algeria,4,Urban population,4106,1982,9408
Algeria,4,GDP per capita,4458,1982,2197
Algeria,4,Long-term average annual precipitation in depth,4151,1982,89
Algeria,4,Total renewable water resources,4188,1982,11.67
Algeria,4,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275,1980,25.71
Algeria,4,Agricultural water withdrawal as % of total renewable water resources,4273,1980,19.02
Algeria,4,SDG 6.4.2. Water Stress,4550,1980,42.19
Andorra,6,% of total country area cultivated,4470,1982,2.128
Andorra,6,Total population,4104,1982,39.11
Andorra,6,Rural population,4105,1982,2.55
Andorra,6,Urban population,4106,1982,36.56
Andorra,6,GDP per capita,4458,1982,9612
Andorra,6,Total renewable water resources,4188,1982,0.3156
Angola,7,% of total country area cultivated,4470,1982,2.727
Angola,7,Total population,4104,1982,9582
Angola,7,Rural population,4105,1982,7875
Angola,7,Urban population,4106,1982,1707
Angola,7,Long-term average annual precipitation in depth,4151,1982,1010
Angola,7,Total renewable water resources,4188,1982,148.4
Antigua and Barbuda,8,% of total country area cultivated,4470,1982,9.091
Antigua and Barbuda,8,Total population,4104,1982,72.45
Antigua and Barbuda,8,Rural population,4105,1982,48.47
Antigua and Barbuda,8,Urban population,4106,1982,23.98
Antigua and Barbuda,8,GDP per capita,4458,1982,1904
Antigua and Barbuda,8,Long-term average annual precipitation in depth,4151,1982,1030
Antigua and Barbuda,8,Total renewable water resources,4188,1982,0.052
Argentina,9,% of total country area cultivated,4470,1982,10.07
Argentina,9,Total population,4104,1982,28994
Argentina,9,Rural population,4105,1982,4713
Argentina,9,Urban population,4106,1982,24281
Argentina,9,GDP per capita,4458,1982,2908
Argentina,9,Long-term average annual precipitation in depth,4151,1982,591
Argentina,9,Total renewable water resources,4188,1982,876.2
