Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Surface water: inflow secured through treaties,4162,1982,0
Afghanistan,2,Surface water: total flow of border rivers,4165,1982,33.4
Afghanistan,2,Surface water: accounted flow of border rivers,4168,1982,9
Afghanistan,2,Surface water: accounted inflow,4164,1982,19
Afghanistan,2,Surface water: leaving the country to other countries (total),4171,1982,42.22
Afghanistan,2,Surface water: outflow to other countries not submitted to treaties,4172,1982,35.52
Afghanistan,2,Surface water: outflow to other countries submitted to treaties,4173,1982,6.7
Afghanistan,2,Surface water: outflow to other countries secured through treaties,4174,1982,0.82
Afghanistan,2,Surface water: total external renewable,4176,1982,18.18
Albania,3,Surface water: inflow secured through treaties,4162,1982,0
Albania,3,Surface water: total flow of border rivers,4165,1982,0
Albania,3,Surface water: accounted flow of border rivers,4168,1982,0
Albania,3,Surface water: accounted inflow,4164,1982,3.3
Albania,3,Surface water: leaving the country to other countries (total),4171,1982,11.5
Albania,3,Surface water: outflow to other countries not submitted to treaties,4172,1982,11.5
Albania,3,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Albania,3,Surface water: outflow to other countries secured through treaties,4174,1982,0
Albania,3,Surface water: total external renewable,4176,1982,3.3
Algeria,4,Surface water: inflow secured through treaties,4162,1982,0
Algeria,4,Surface water: total flow of border rivers,4165,1982,0
Algeria,4,Surface water: accounted flow of border rivers,4168,1982,0
Algeria,4,Surface water: accounted inflow,4164,1982,0.39
Algeria,4,Surface water: leaving the country to other countries (total),4171,1982,0.32
Algeria,4,Surface water: outflow to other countries not submitted to treaties,4172,1982,0.32
Algeria,4,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Algeria,4,Surface water: outflow to other countries secured through treaties,4174,1982,0
Algeria,4,Surface water: total external renewable,4176,1982,0.39
Angola,7,Surface water: inflow secured through treaties,4162,1982,0
Angola,7,Surface water: total flow of border rivers,4165,1982,0
Angola,7,Surface water: accounted flow of border rivers,4168,1982,0
Angola,7,Surface water: accounted inflow,4164,1982,0.4
Angola,7,Surface water: leaving the country to other countries (total),4171,1982,122.8
Angola,7,Surface water: outflow to other countries not submitted to treaties,4172,1982,122.8
Angola,7,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Angola,7,Surface water: outflow to other countries secured through treaties,4174,1982,0
Angola,7,Surface water: total external renewable,4176,1982,0.4
Antigua and Barbuda,8,Surface water: inflow secured through treaties,4162,1982,0
Antigua and Barbuda,8,Surface water: total flow of border rivers,4165,1982,0
Antigua and Barbuda,8,Surface water: accounted flow of border rivers,4168,1982,0
Antigua and Barbuda,8,Surface water: accounted inflow,4164,1982,0
Antigua and Barbuda,8,Surface water: leaving the country to other countries (total),4171,1982,0
Antigua and Barbuda,8,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Antigua and Barbuda,8,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Antigua and Barbuda,8,Surface water: outflow to other countries secured through treaties,4174,1982,0
Antigua and Barbuda,8,Surface water: total external renewable,4176,1982,0
Argentina,9,Surface water: inflow secured through treaties,4162,1982,0
Argentina,9,Surface water: total flow of border rivers,4165,1982,135.9
Argentina,9,Surface water: accounted flow of border rivers,4168,1982,67.94
Argentina,9,Surface water: accounted inflow,4164,1982,584.2
Argentina,9,Surface water: leaving the country to other countries (total),4171,1982,48
Argentina,9,Surface water: outflow to other countries not submitted to treaties,4172,1982,48
Argentina,9,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Argentina,9,Surface water: outflow to other countries secured through treaties,4174,1982,0
Argentina,9,Surface water: total external renewable,4176,1982,584.2
Australia,10,Surface water: inflow secured through treaties,4162,1982,0
Australia,10,Surface water: total flow of border rivers,4165,1982,0
Australia,10,Surface water: accounted flow of border rivers,4168,1982,0
Australia,10,Surface water: accounted inflow,4164,1982,0
Australia,10,Surface water: leaving the country to other countries (total),4171,1982,0
Australia,10,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Australia,10,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Australia,10,Surface water: outflow to other countries secured through treaties,4174,1982,0
Australia,10,Surface water: total external renewable,4176,1982,0
Austria,11,Surface water: inflow secured through treaties,4162,1982,0
Austria,11,Surface water: total flow of border rivers,4165,1982,0
Austria,11,Surface water: accounted flow of border rivers,4168,1982,0
Austria,11,Surface water: accounted inflow,4164,1982,22.7
Austria,11,Surface water: leaving the country to other countries (total),4171,1982,77.7
Austria,11,Surface water: outflow to other countries not submitted to treaties,4172,1982,77.7
Austria,11,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Austria,11,Surface water: outflow to other countries secured through treaties,4174,1982,0
Austria,11,Surface water: total external renewable,4176,1982,22.7
Bahamas,12,Surface water: inflow secured through treaties,4162,1982,0
Bahamas,12,Surface water: total flow of border rivers,4165,1982,0
Bahamas,12,Surface water: accounted flow of border rivers,4168,1982,0
Bahamas,12,Surface water: accounted inflow,4164,1982,0
Bahamas,12,Surface water: leaving the country to other countries (total),4171,1982,0
Bahamas,12,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Bahamas,12,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Bahamas,12,Surface water: outflow to other countries secured through treaties,4174,1982,0
Bahamas,12,Surface water: total external renewable,4176,1982,0
Bahrain,13,Surface water: inflow secured through treaties,4162,1982,0
Bahrain,13,Surface water: total flow of border rivers,4165,1982,0
Bahrain,13,Surface water: accounted flow of border rivers,4168,1982,0
Bahrain,13,Surface water: accounted inflow,4164,1982,0
Bahrain,13,Surface water: leaving the country to other countries (total),4171,1982,0
Bahrain,13,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Bahrain,13,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Bahrain,13,Surface water: outflow to other countries secured through treaties,4174,1982,0
Bahrain,13,Surface water: total external renewable,4176,1982,0
Bangladesh,16,Surface water: inflow secured through treaties,4162,1982,0
Bangladesh,16,Surface water: total flow of border rivers,4165,1982,0
Bangladesh,16,Surface water: accounted flow of border rivers,4168,1982,0
Bangladesh,16,Surface water: accounted inflow,4164,1982,1122
Bangladesh,16,Surface water: leaving the country to other countries (total),4171,1982,0.057
Bangladesh,16,Surface water: outflow to other countries not submitted to treaties,4172,1982,0.057
Bangladesh,16,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Bangladesh,16,Surface water: outflow to other countries secured through treaties,4174,1982,0
Bangladesh,16,Surface water: total external renewable,4176,1982,1122
Barbados,14,Surface water: inflow secured through treaties,4162,1982,0
Barbados,14,Surface water: total flow of border rivers,4165,1982,0
Barbados,14,Surface water: accounted flow of border rivers,4168,1982,0
Barbados,14,Surface water: accounted inflow,4164,1982,0
Barbados,14,Surface water: leaving the country to other countries (total),4171,1982,0
Barbados,14,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Barbados,14,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Barbados,14,Surface water: outflow to other countries secured through treaties,4174,1982,0
Barbados,14,Surface water: total external renewable,4176,1982,0
Belgium,255,Surface water: inflow secured through treaties,4162,1982,0
Belgium,255,Surface water: total flow of border rivers,4165,1982,0
Belgium,255,Surface water: accounted flow of border rivers,4168,1982,0
Belgium,255,Surface water: accounted inflow,4164,1982,6.3
Belgium,255,Surface water: leaving the country to other countries (total),4171,1982,11
Belgium,255,Surface water: outflow to other countries not submitted to treaties,4172,1982,11
Belgium,255,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Belgium,255,Surface water: outflow to other countries secured through treaties,4174,1982,0
Belgium,255,Surface water: total external renewable,4176,1982,6.3
Belize,23,Surface water: inflow secured through treaties,4162,1982,0
Belize,23,Surface water: total flow of border rivers,4165,1982,0.864
Belize,23,Surface water: accounted flow of border rivers,4168,1982,0.432
Belize,23,Surface water: accounted inflow,4164,1982,6.474
Belize,23,Surface water: leaving the country to other countries (total),4171,1982,0
Belize,23,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Belize,23,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Belize,23,Surface water: outflow to other countries secured through treaties,4174,1982,0
Belize,23,Surface water: total external renewable,4176,1982,6.474
Benin,53,Surface water: inflow secured through treaties,4162,1982,0
Benin,53,Surface water: total flow of border rivers,4165,1982,32.19
Benin,53,Surface water: accounted flow of border rivers,4168,1982,16.09
Benin,53,Surface water: accounted inflow,4164,1982,16.09
Benin,53,Surface water: leaving the country to other countries (total),4171,1982,5.8
Benin,53,Surface water: outflow to other countries not submitted to treaties,4172,1982,5.8
Benin,53,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Benin,53,Surface water: outflow to other countries secured through treaties,4174,1982,0
Benin,53,Surface water: total external renewable,4176,1982,16.09
Bhutan,18,Surface water: inflow secured through treaties,4162,1982,0
Bhutan,18,Surface water: total flow of border rivers,4165,1982,0
Bhutan,18,Surface water: accounted flow of border rivers,4168,1982,0
Bhutan,18,Surface water: accounted inflow,4164,1982,0
Bhutan,18,Surface water: leaving the country to other countries (total),4171,1982,95
Bhutan,18,Surface water: outflow to other countries not submitted to treaties,4172,1982,78
Bhutan,18,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Bhutan,18,Surface water: outflow to other countries secured through treaties,4174,1982,0
Bhutan,18,Surface water: total external renewable,4176,1982,0
Bolivia (Plurinational State of),19,Surface water: inflow secured through treaties,4162,1982,0
Bolivia (Plurinational State of),19,Surface water: total flow of border rivers,4165,1982,15
Bolivia (Plurinational State of),19,Surface water: accounted flow of border rivers,4168,1982,11.5
Bolivia (Plurinational State of),19,Surface water: accounted inflow,4164,1982,270.5
Bolivia (Plurinational State of),19,Surface water: leaving the country to other countries (total),4171,1982,566
Bolivia (Plurinational State of),19,Surface water: outflow to other countries not submitted to treaties,4172,1982,566
Bolivia (Plurinational State of),19,Surface water: outflow to other countries submitted to treaties,4173,1982,0
