,Area,Year,% of total country area cultivated,Arable land area,Cultivated area (arable land + permanent crops),Dependency ratio,Environmental Flow Requirements,GDP per capita,Gross Domestic Product (GDP),Groundwater produced internally,Groundwater: accounted inflow,Groundwater: entering the country (total),Long-term average annual precipitation in depth,Long-term average annual precipitation in volume,Overlap between surface water and groundwater,Overlap: between surface water and groundwater,Permanent crops area,Population density,Rural population,Surface water produced internally,Surface water: accounted flow of border rivers,Surface water: accounted inflow,Surface water: entering the country (total),Surface water: inflow not submitted to treaties,Surface water: inflow secured through treaties,Surface water: inflow submitted to treaties,Surface water: leaving the country to other countries (total),Surface water: outflow to other countries not submitted to treaties,Surface water: outflow to other countries secured through treaties,Surface water: outflow to other countries submitted to treaties,Surface water: total external renewable,Surface water: total flow of border rivers,Total area of the country (excl. coastal waters),Total internal renewable water resources (IRWR),Total internal renewable water resources per capita,Total population,Total renewable groundwater,Total renewable surface water,Total renewable water resources,Total renewable water resources per capita,Urban population,Water resources: total external renewable
1,Albania,1980,24.66,589.0,709.0,10.93,13.56,815.53,15000000000.0,6.2,0.0,0.0,1485.0,42.69,2.35,2.35,120.0,96.97,1806.0,23.05,0.0,3.3,3.3,3.3,0.0,0.0,11.5,11.5,0.0,0.0,3.3,0.0,2875.0,26.9,9648.0,2788.0,6.2,26.35,30.2,10832.0,982.0,3.3
2,Algeria,1980,3.153,6881.0,7509.0,3.5989999999999998,4.56,2197.0,45200000000.0,1.4869999999999999,0.03,0.03,89.0,212.0,0.0,0.0,628.0,8.639,11168.0,9.76,0.0,0.39,0.39,0.39,0.0,0.0,0.32,0.32,0.0,0.0,0.39,0.0,238174.0,11.25,546.8,20576.0,1.517,10.15,11.67,567.2,9408.0,0.42
6,Argentina,1980,10.07,27000.0,27992.0,66.67,515.8,2908.0,84300000000.0,128.0,0.0,0.0,591.0,1643.0,112.0,112.0,992.0,10.43,4713.0,276.0,67.94,584.2,516.3,516.3,0.0,0.0,48.0,48.0,0.0,0.0,584.2,135.9,278040.0,292.0,10071.0,28994.0,128.0,860.2,876.2,30220.0,24281.0,584.2
7,Australia,1980,6.011,46374.0,46531.0,0.0,243.3,12898.0,194000000000.0,72.0,0.0,0.0,534.0,4134.0,20.0,20.0,157.0,1.943,2108.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774122.0,492.0,32711.0,15041.0,72.0,440.0,492.0,32711.0,12933.0,0.0
8,Austria,1980,19.48,1535.0,1634.0,29.21,41.51,9353.0,71100000000.0,6.0,0.0,0.0,1110.0,93.11,6.0,6.0,99.0,90.63,2660.0,55.0,0.0,22.7,22.7,22.7,0.0,0.0,77.7,77.7,0.0,0.0,22.7,0.0,8388.0,55.0,7235.0,7602.0,6.0,77.7,77.7,10221.0,4942.0,22.7
11,Bangladesh,1980,63.17,9104.0,9378.0,91.44,600.3,215.4,18500000000.0,21.09,0.032,0.032,2666.0,395.8,0.0,0.0,274.0,579.3,71893.0,83.91,0.0,1122.0,1122.0,1122.0,0.0,0.0,0.057,0.057,0.0,0.0,1122.0,0.0,14846.0,105.0,1221.0,86007.0,21.12,1206.0,1227.0,14266.0,14114.0,1122.0
14,Belize,1980,2.307,46.0,53.0,29.79,13.72,1183.0,179000000.0,7.51,0.0,0.0,1705.0,39.16,7.51,7.51,7.0,6.596,77.28,15.26,0.43200000000000005,6.474,6.042000000000001,6.042000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.474,0.8640000000000001,2297.0,15.26,100726.0,151.5,7.51,21.73,21.73,143432.0,74.22,6.474
15,Benin,1980,14.29,1550.0,1640.0,60.97,13.06,322.8,1270000000.0,1.8,0.0,0.0,1039.0,119.2,1.5,1.5,90.0,34.23,2800.0,10.0,16.09,16.09,0.0,0.0,0.0,0.0,5.8,5.8,0.0,0.0,16.09,32.19,11476.0,10.3,2622.0,3928.0,1.8,26.09,26.39,6718.0,1128.0,16.09
16,Bhutan,1980,3.255,135.0,153.0,0.0,54.1,345.6,149000000.0,9.5,0.0,0.0,2200.0,103.4,9.5,9.5,18.0,9.17,382.4,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,0.0,0.0,0.0,0.0,4700.0,95.0,220418.0,431.0,9.5,95.0,95.0,220418.0,48.6,0.0
17,Bolivia (Plurinational State of),1980,1.944,2018.0,2136.0,47.13,396.6,958.7,5590000000.0,130.0,0.0,0.0,1146.0,1259.0,103.9,103.9,118.0,5.311,3163.0,277.4,11.5,270.5,259.0,259.0,0.0,0.0,566.0,566.0,0.0,0.0,270.5,15.0,109858.0,303.5,52014.0,5835.0,130.0,547.9,574.0,98372.0,2672.0,270.5
